id,name,year_established,country,description,url,has_trading_incentive,trust_score,trust_score_rank,trade_vol_24h_btc,trade_vol_24h_btc_normalized,trade_vol_24h_usd,trade_vol_24h_usd_normalized,age_of_exchange,ingested_at
bitdelta,BitDelta,2023.0,Vanuatu,"BitDelta is a global trading platform servicing in 120+ countries with a mission to revolutionize the financial landscape by empowering young individuals and ambitious investors to ignite their trading journey. The platform offers a comprehensive trading experience through a range of innovative features, like Spot Trading, Card Crypto Purchases, Token Launchpad Services and more. Along with these features, BitDelta users are able to diversify their portfolios into a variety of assets, all while using a highly secure asset custodian. With a steadfast commitment to making trading accessible for all, BitDelta aims to create a sophisticated and engaging trading experience where every trade counts.",https://bitdelta.com/,False,8.0,38.0,672.3035848202595,672.3035848202595,42849430.33,42849430.33,1.0,2024-06-23 22:50:18.517587
backpack_exchange,Backpack Exchange ,2023.0,British Virgin Islands,A next-gen cryptocurrency exchange. ,https://backpack.exchange/,False,8.0,39.0,336.8730851468848,336.8730851468848,21470686.93,21470686.93,1.0,2024-06-23 22:50:18.517587
bullish_com,Bullish,2021.0,Gibraltar,,https://bullish.com/,False,8.0,40.0,6638.088872986555,220.27789884636834,423080187.46,14039464.75,3.0,2024-06-23 22:50:18.517587
bitbank,Bitbank,2016.0,Japan,,https://bitbank.cc/,False,8.0,41.0,174.02184565326976,174.02184565326976,11091324.10,11091324.10,8.0,2024-06-23 22:50:18.517587
bitso,Bitso,2014.0,Gibraltar,,https://bitso.com,False,8.0,42.0,129.6137510535129,129.6137510535129,8260963.53,8260963.53,10.0,2024-06-23 22:50:18.517587
max_maicoin,Max Maicoin,,Taiwan,,https://max.maicoin.com,False,8.0,43.0,128.29768575711873,128.29768575711873,8177083.79,8177083.79,,2024-06-23 22:50:18.517587
indodax,Indodax,2014.0,Indonesia,,https://indodax.com,False,8.0,44.0,119.36020116304881,119.36020116304881,7607451.07,7607451.07,10.0,2024-06-23 22:50:18.517587
bitopro,BitoPro,2018.0,Taiwan,,https://www.bitopro.com/,False,8.0,45.0,81.4726224940718,81.4726224940718,5192677.15,5192677.15,6.0,2024-06-23 22:50:18.517587
kuna,Kuna Exchange,,United Kingdom,,https://kuna.io/,False,8.0,46.0,61.509999294869,61.509999294869,3920354.57,3920354.57,,2024-06-23 22:50:18.517587
nonkyc_io,Nonkyc.io,2023.0,Seychelles,"About NonKyc.io Founded in 2023, NonKyc.io strives to provide its users with the best trading experience and give small and medium market cap assets a reliable trading hub. Our goal is to maintain a fast and user friendly system while also concentrating on security to keep users, data, and assets safe. Security of our users' data & assets is always our top priority and we are focused on building an easy to use digital asset trading platform for everyone to enjoy.  The NonKYC platform system is NOT from some predesigned script package or preexisting codebase. It has been created from the ground up by professional developers who are well experienced in Cryptocurrency. NonKYC has been designed to scale horizontally as we grow to become a top tier exchange.",https://nonkyc.io,False,8.0,47.0,35.742105084580366,35.742105084580366,2278031.65,2278031.65,1.0,2024-06-23 22:50:18.517587
fastex,Fastex,,Lithuania,,https://exchange.fastex.com/,False,8.0,48.0,35.31968448022589,35.31968448022589,2251108.57,2251108.57,,2024-06-23 22:50:18.517587
bitmex_spot,BitMEX,,Seychelles,,https://www.bitmex.com/spot/,False,8.0,49.0,1.31846026265709,1.31846026265709,84032.38,84032.38,,2024-06-23 22:50:18.517587
lbank,LBank,2015.0,British Virgin Islands,"LBank is a globally based centralized exchange (CEX) platform established in 2015. The platform allows users to buy and sell major crypto assets like Bitcoin (BTC) and Ethereum (ETH) in over 149 fiat currencies, with over 20 payment methods. The company has licenses from the National Futures Association, Italian Organismo degli Agenti e dei Mediatori, and money services businesses in the United States & Canada. The LBank exchange has over 9 million users and accepts clients from over 200 regions.
LBank Exchange provides its users with crypto trading, specialized financial derivatives, and professional asset management services.
 ",https://www.lbank.com,False,7.0,50.0,6999.300173886996,6999.300173886996,446102076.41,446102076.41,9.0,2024-06-23 22:50:18.517587
p2pb2b,P2B,2018.0,Lithuania,"P2B is a top crypto platform in Europe and has gotten into the TOP-3 Crypto Exchanges by growth speed. It offers the best go-to-market experience to diverse crypto startups. At the exchange, investors can find a wide variety of newly-launched tokens.


The platform attracts new crypto projects due to the high-level liquidity of the crypto exchange. One of the essential benefits of the crypto exchange is the high-level security of every launch and operation. It's in the TOP-15 in Cer.Live security rate. 


The exchange has 6-year-old experience in the crypto field and has presented more than 2,000 crypto projectsʼ launches. The go-to-market team of the exchange has designed a well-thought strategy for marketing and promoting newly-launched projects to enhance their liquidity and involve new investors.


P2B offers a top-grade launchpad with extended functionality for newly-launched crypto projects. The platform offers additional liquidity services to support a token price after a listing stage and avoid a price drop. It doesn't have limitations, a ticket system, and doesn't hold tokens. The total amount of funds raised through launchpads is already more than $10 million, and the top results from one launchpad are $2+ million.


P2B is popular among newly-launched crypto projects due to easy-to-go onboarding, a loyal listing requirement for the 1st listing, expertise, and well-designed tools for the project's promotion. The exchange also contributes to the development of WEB 3.0 by creating the Fund of Rising Stars to support projects with high potential and strong ideas.


Join the prosperous P2B community—the #1 place to be in crypto.

Get your exciting trading experience and earn fast and securely with 24/7 support.

",https://p2pb2b.com/,False,7.0,51.0,6460.559428480339,6460.559428480339,411765305.71,411765305.71,6.0,2024-06-23 22:50:18.517587
biconomy,Biconomy,2019.0,Canada,"Biсonomy is a Canadian cryptocurrency exchange founded on October 1, 2019.
The exchange has a Canadian trading license and has also recently received a US MSB license.
Biconomy only hosts high-quality projects and coins. It is also possible to buy a cryptocurrency for fiat using the AdvCash solution.",https://www.biconomy.com/,False,7.0,52.0,8891.974767831738,5922.032416028279,566732145.90,377442157.32,5.0,2024-06-23 22:50:18.517587
tapbit,Tapbit,2019.0,United States,"Tapbit offers secure and stable trading services for global investors in mainstream crypto assets such as BTC, ETH, SOL, and USDC. The platform holds the MSB fiat currency business license issued by the U.S. federal government, the MSB fiat currency business license issued by the Canadian government, the NFA general financial license, and the crypto and forex business license issued by SVGFSA. Additionally, we safeguard all your assets on Tapbit through a multi-million-dollar insurance fund Tapbit provides users with cutting-edge technology, featuring a core aggregation engine that stands as one of the most advanced technological products in the current market. With fault tolerance and exceptional processing speed, it can address concurrent issues arising from instantaneous high volumes of transactions and settlements. Our security measures include banking-grade SSL encryption, multi-signature capabilities, and hot & cold wallet separation technology, all working together to rigorously protect the security of all user assets  Tapbit stands out as one of the safest and most reliable cryptocurrency service platforms in the current market. Global investors can utilize and benefit from the platform without worrying about potential risks associated with the field, thanks to the application of advanced technology and innovative algorithms.",https://www.tapbit.com/,False,7.0,53.0,4835.201647380057,4835.201647380057,308172737.44,308172737.44,5.0,2024-06-23 22:50:18.517587
