id,name,year_established,country,description,url,has_trading_incentive,trust_score,trust_score_rank,trade_vol_24h_btc,trade_vol_24h_btc_normalized,trade_vol_24h_usd_normalized,trade_vol_24h_usd,age_of_exchange,ingested_at
pointpay,PointPay,2018.0,Saint Vincent and the Grenadines,,https://exchange.pointpay.io/,False,8.0,37.0,1704.5626537375642,1704.5626537375642,114089497.76,114089497.76,6.0,2024-06-14 08:34:58.428855
phemex,Phemex,2019.0,Singapore,"Launched in 2019, Phemex is a Singapore-based cryptocurrency and derivatives trading platform led by former Morgan Stanley executives. Serving around 5 million active users in over 200 countries, Phemex supports 150+ trading pairs with up to 100x leverage.

-  Fee Structure: 0.1% for both maker and taker
-  Contract Fee Structure: 0.01% for maker and 0.06% for taker
-  Up to $100 Welcome Bonus for new users
-  Earn up to 8.5% APY interest income on crypto assets
-  Free academy with 450+ carefully curated articles about crypto & trading
-  Security: Hierarchical Deterministic Cold Wallet System with 2-level human scrutiny offline signatures.",https://phemex.com/,False,8.0,38.0,1628.0171815267129,1628.0171815267129,108966169.23,108966169.23,5.0,2024-06-14 08:34:58.428855
hashkey-global,HashKey Global,2018.0,Bermuda,"HashKey Global is the flagship digital asset exchange under HashKey Group, offering licensed digital asset trading services to global users. HashKey Global is licensed in under the Bermuda Monetary Authority's full Digital Asset Business investor protection regime under a Class F Full License.   HashKey Global adopts the compliance, security, and audit best practices of HashKey Exchange (the largest licensed digital asset exchange in Hong Kong), with features such as asset segregation,  information security controls, insurance, independent auditing, and payments settlement.  HashKey Global has a compliant listing system and will offer mainstream trading services like LaunchPad, futures, leverage and staking.  HashKey Global is the core of HashKey Group's global licensed exchange landscape.  Note: HashKey Global does not conduct business in the United States, mainland China, Hong Kong, and certain sanctioned countries.  For more details :global.hashkey.com ",https://global.hashkey.com/,False,8.0,39.0,1997.4519407310231,1073.8723787666354,71876243.50,133693113.73,6.0,2024-06-14 08:34:58.428855
bitso,Bitso,2014.0,Gibraltar,,https://bitso.com,False,8.0,40.0,660.1879949057684,660.1879949057684,44187590.64,44187590.64,10.0,2024-06-14 08:34:58.428855
bitbank,Bitbank,2016.0,Japan,,https://bitbank.cc/,False,8.0,41.0,428.03326912151385,428.03326912151385,28649050.00,28649050.00,8.0,2024-06-14 08:34:58.428855
max_maicoin,Max Maicoin,,Taiwan,,https://max.maicoin.com,False,8.0,42.0,376.28779824267207,376.28779824267207,25185630.94,25185630.94,,2024-06-14 08:34:58.428855
bullish_com,Bullish,2021.0,Gibraltar,,https://bullish.com/,False,7.0,43.0,21289.743662591816,260.5826322636168,17441272.44,1424961503.57,3.0,2024-06-14 08:34:58.428855
bitopro,BitoPro,2018.0,Taiwan,,https://www.bitopro.com/,False,8.0,44.0,208.3752178024925,208.3752178024925,13946934.65,13946934.65,6.0,2024-06-14 08:34:58.428855
indodax,Indodax,2014.0,Indonesia,,https://indodax.com,False,8.0,45.0,197.28582325194603,197.28582325194603,13204701.18,13204701.18,10.0,2024-06-14 08:34:58.428855
nonkyc_io,Nonkyc.io,2023.0,Seychelles,"About NonKyc.io Founded in 2023, NonKyc.io strives to provide its users with the best trading experience and give small and medium market cap assets a reliable trading hub. Our goal is to maintain a fast and user friendly system while also concentrating on security to keep users, data, and assets safe. Security of our users' data & assets is always our top priority and we are focused on building an easy to use digital asset trading platform for everyone to enjoy.  The NonKYC platform system is NOT from some predesigned script package or preexisting codebase. It has been created from the ground up by professional developers who are well experienced in Cryptocurrency. NonKYC has been designed to scale horizontally as we grow to become a top tier exchange.",https://nonkyc.io,False,8.0,46.0,139.9772735419302,139.9772735419302,9368935.08,9368935.08,1.0,2024-06-14 08:34:58.428855
kuna,Kuna Exchange,,United Kingdom,,https://kuna.io/,False,8.0,47.0,47.819526119030506,47.819526119030506,3200648.39,3200648.39,,2024-06-14 08:34:58.428855
